Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
7,demande,request
8,laisser,let
9,car,because
10,mettre,to put
11,aucun,no
12,laisse,leash
14,ville,city
17,arrivé,come
18,devrait,should
19,bébé,baby
21,vont,will
22,pendant,while
28,pourrais,could
30,type,type
31,donné,given
32,train,train
33,corps,body
34,endroit,place
35,premier,first
36,main,hand
37,première,first
38,pouvoir,power
39,vieux,old
40,tiens,here
41,matin,morning
42,tellement,so much
44,venez,come
46,vers,towards
47,demandé,request
50,cause,cause
51,eau,water
52,parti,left
53,nouvelle,new
55,chérie,sweetheart
56,jouer,to play
57,bureau,office
